pc_time,type,node_id,seq,gps_valid,lat,lng,speed_mps,heading_deg,node_risk,tx_ms,rx_ms,recv_count,lost_count,rssi,src_mac,source_mode
1784527641.6318095,cane,4125577512,329,0,37.0,127.0,0.0,0.0,0,35350,37073,330,0,-34,30:76:F5:E7:51:28,fallback
1784527641.7345889,cane,4125577512,330,0,37.0,127.0,0.0,0.0,0,35452,37176,331,0,-33,30:76:F5:E7:51:28,fallback
1784527641.8358016,cane,4125577512,331,0,37.0,127.0,0.0,0.0,0,35554,37277,332,0,-34,30:76:F5:E7:51:28,fallback
1784527641.9377928,cane,4125577512,332,0,37.0,127.0,0.0,0.0,0,35656,37379,333,0,-34,30:76:F5:E7:51:28,fallback
1784527642.039775,cane,4125577512,333,0,37.0,127.0,0.0,0.0,0,35758,37481,334,0,-34,30:76:F5:E7:51:28,fallback
1784527642.1427798,cane,4125577512,334,0,37.0,127.0,0.0,0.0,0,35860,37584,335,0,-33,30:76:F5:E7:51:28,fallback
1784527642.24455,cane,4125577512,335,0,37.0,127.0,0.0,0.0,0,35962,37686,336,0,-34,30:76:F5:E7:51:28,fallback
1784527642.3458319,cane,4125577512,336,0,37.0,127.0,0.0,0.0,0,36064,37787,337,0,-34,30:76:F5:E7:51:28,fallback
1784527642.4482925,cane,4125577512,337,0,37.0,127.0,0.0,0.0,0,36166,37889,338,0,-34,30:76:F5:E7:51:28,fallback
1784527642.5497746,cane,4125577512,338,0,37.0,127.0,0.0,0.0,0,36268,37991,339,0,-35,30:76:F5:E7:51:28,fallback
1784527642.6517973,cane,4125577512,339,0,37.0,127.0,0.0,0.0,0,36370,38093,340,0,-34,30:76:F5:E7:51:28,fallback
1784527642.753758,cane,4125577512,340,0,37.0,127.0,0.0,0.0,0,36472,38195,341,0,-37,30:76:F5:E7:51:28,fallback
1784527642.855789,cane,4125577512,341,0,37.0,127.0,0.0,0.0,0,36574,38297,342,0,-34,30:76:F5:E7:51:28,fallback
1784527642.958203,cane,4125577512,342,0,37.0,127.0,0.0,0.0,0,36676,38399,343,0,-35,30:76:F5:E7:51:28,fallback
1784709196.2373765,cane,4125577512,11163,0,37.0,127.0,0.0,0.0,0,1143117,4338632,41824,165948,-14,30:76:F5:E7:51:28,fallback
1784709196.339274,cane,4125577512,11164,0,37.0,127.0,0.0,0.0,0,1143219,4338734,41825,165948,-15,30:76:F5:E7:51:28,fallback
1784709196.441216,cane,4125577512,11165,0,37.0,127.0,0.0,0.0,0,1143321,4338836,41826,165948,-14,30:76:F5:E7:51:28,fallback
1784709196.54314,cane,4125577512,11166,0,37.0,127.0,0.0,0.0,0,1143423,4338938,41827,165948,-15,30:76:F5:E7:51:28,fallback
1784709196.6451082,cane,4125577512,11167,0,37.0,127.0,0.0,0.0,0,1143525,4339040,41828,165948,-14,30:76:F5:E7:51:28,fallback
1784709196.7471778,cane,4125577512,11168,0,37.0,127.0,0.0,0.0,0,1143627,4339142,41829,165948,-14,30:76:F5:E7:51:28,fallback
1784709196.8495033,cane,4125577512,11169,0,37.0,127.0,0.0,0.0,0,1143729,4339245,41830,165948,-14,30:76:F5:E7:51:28,fallback
1784709196.9511783,cane,4125577512,11170,0,37.0,127.0,0.0,0.0,0,1143831,4339346,41831,165948,-14,30:76:F5:E7:51:28,fallback
1784709197.0558686,cane,4125577512,11171,0,37.0,127.0,0.0,0.0,0,1143933,4339451,41832,165948,-15,30:76:F5:E7:51:28,fallback
1784709197.155102,cane,4125577512,11172,0,37.0,127.0,0.0,0.0,0,1144035,4339550,41833,165948,-14,30:76:F5:E7:51:28,fallback
