ts_ms,ped_x,ped_y,veh_x,veh_y,ped_speed_mps,veh_speed_mps,distance_m,rel_speed_mps
19000,3600.0,1400.0,3705.16,1406.53,1.2,9.64,105.36254790009575,8.440000000000001
19000,3600.0,1400.0,3618.11,1337.74,1.2,9.28,64.8404171794106,8.08
19000,3600.0,1400.0,3482.96,1578.58,1.2,8.32,213.5162242079041,7.12
19000,3600.0,1400.0,3714.72,1363.67,1.2,9.28,120.33514573889022,8.08
19000,3600.0,1400.0,3574.89,1437.48,1.2,7.82,45.113883672324285,6.62
19000,3600.0,1400.0,3681.82,1340.65,1.2,1.27,101.07885486094516,0.07000000000000006
19000,3600.0,1400.0,3692.44,1332.55,1.2,1.22,114.4318841057859,0.020000000000000018
19000,3600.0,1400.0,3747.39,1397.85,1.2,0.0,147.40568035187778,-1.2
19000,3600.0,1400.0,3804.66,1159.11,1.2,9.32,316.09129646353756,8.120000000000001
19000,3600.0,1400.0,3639.49,1333.9,1.2,2.08,76.99785776240772,0.8800000000000001
19000,3600.0,1400.0,3487.54,1396.64,1.2,9.71,112.51018265028286,8.510000000000002
19000,3600.0,1400.0,3565.12,1595.13,1.2,7.55,198.222933335172,6.35
19000,3600.0,1400.0,3576.51,1467.72,1.2,6.07,71.6782986684254,4.87
19000,3600.0,1400.0,3661.68,1420.79,1.2,4.98,65.08952680731346,3.7800000000000002
19000,3600.0,1400.0,3510.14,1536.06,1.2,7.83,163.05564448984893,6.63
19000,3600.0,1400.0,3491.19,1565.82,1.2,7.93,198.33277212805748,6.7299999999999995
20000,3600.0,1400.0,3695.6,1415.03,1.2,7.63,96.77427809082319,6.43
20000,3600.0,1400.0,3590.51,1473.58,1.2,3.85,74.18946353762092,2.6500000000000004
20000,3600.0,1400.0,3652.61,1330.19,1.2,4.77,87.41423339479678,3.5699999999999994
20000,3600.0,1400.0,3904.6,1316.01,1.2,9.8,315.9675301356137,8.600000000000001
20000,3600.0,1400.0,3711.98,1405.13,1.2,7.06,112.09744555519545,5.859999999999999
20000,3600.0,1400.0,3625.01,1334.67,1.2,7.58,69.95362034948586,6.38
20000,3600.0,1400.0,3486.76,1572.78,1.2,6.94,206.58224996354343,5.74
20000,3600.0,1400.0,3707.9,1359.7,1.2,7.89,115.18029345335084,6.6899999999999995
20000,3600.0,1400.0,3579.55,1429.94,1.2,8.86,36.25749715576071,7.659999999999999
20000,3600.0,1400.0,3684.71,1342.92,1.2,3.67,102.1465148695735,2.4699999999999998
20000,3600.0,1400.0,3694.46,1329.46,1.2,3.69,117.89225250201983,2.49
20000,3600.0,1400.0,3750.47,1397.22,1.2,3.14,150.49567867550198,1.9400000000000002
20000,3600.0,1400.0,3809.84,1150.84,1.2,9.71,325.7507194159364,8.510000000000002
20000,3600.0,1400.0,3644.8,1406.46,1.2,0.0,45.26335824925076,-1.2
20000,3600.0,1400.0,3640.61,1332.85,1.2,1.54,78.47480232533258,0.3400000000000001
20000,3600.0,1400.0,3482.63,1391.87,1.2,6.84,117.6512379875366,5.64
20000,3600.0,1400.0,3558.58,1595.77,1.2,6.58,200.10374634174144,5.38
20000,3600.0,1400.0,3579.66,1469.75,1.2,3.75,72.65520008918843,2.55
20000,3600.0,1400.0,3654.03,1419.91,1.2,7.68,57.58167243142582,6.4799999999999995
20000,3600.0,1400.0,3514.39,1529.39,1.2,7.91,155.14781403551922,6.71
20000,3600.0,1400.0,3495.8,1558.58,1.2,8.58,189.75051093475332,7.38
21000,3600.0,1400.0,3689.01,1416.38,1.2,6.82,90.50461037980354,5.62
21000,3600.0,1400.0,3596.35,1469.19,1.2,7.1,69.28620786274861,5.8999999999999995
21000,3600.0,1400.0,3658.36,1330.68,1.2,5.81,90.61540707848752,4.609999999999999
21000,3600.0,1400.0,3912.1,1314.4,1.2,7.67,323.6259723816986,6.47
21000,3600.0,1400.0,3720.72,1403.33,1.2,9.05,120.76591944749956,7.8500000000000005
21000,3600.0,1400.0,3628.75,1333.43,1.2,3.94,72.5129464302754,2.74
21000,3600.0,1400.0,3491.06,1566.01,1.2,8.02,198.56294644268354,6.819999999999999
21000,3600.0,1400.0,3702.46,1356.54,1.2,6.3,111.296105951646,5.1
21000,3600.0,1400.0,3583.36,1422.72,1.2,8.22,28.16181812312545,7.0200000000000005
21000,3600.0,1400.0,3686.99,1346.28,1.2,4.08,102.24039563694951,2.88
21000,3600.0,1400.0,3697.59,1324.66,1.2,5.73,123.28797062163046,4.53
21000,3600.0,1400.0,3754.13,1396.47,1.2,3.74,154.17041804444855,2.54
21000,3600.0,1400.0,3814.11,1144.02,1.2,8.02,333.7197214729751,6.819999999999999
21000,3600.0,1400.0,3643.0,1409.11,1.2,0.0,43.954432085968286,-1.2
21000,3600.0,1400.0,3839.06,1388.82,1.2,0.0,239.32128196213554,-1.2
21000,3600.0,1400.0,3642.85,1331.18,1.2,2.86,81.06981497450197,1.66
21000,3600.0,1400.0,3476.96,1386.37,1.2,7.9,123.79264315782257,6.7
21000,3600.0,1400.0,3548.86,1596.72,1.2,9.76,203.25859883409606,8.56
21000,3600.0,1400.0,3583.56,1472.42,1.2,4.73,74.26257469277519,3.5300000000000002
21000,3600.0,1400.0,3645.28,1417.86,1.2,8.89,48.675024396501485,7.69
21000,3600.0,1400.0,3518.04,1523.66,1.2,6.79,148.3551050688854,5.59
21000,3600.0,1400.0,3499.9,1552.14,1.2,7.64,182.11696680979512,6.4399999999999995
22000,3600.0,1400.0,3681.73,1417.87,1.2,7.53,83.66080205209605,6.33
22000,3600.0,1400.0,3603.3,1464.61,1.2,7.69,64.69421998911486,6.49
22000,3600.0,1400.0,3666.57,1332.43,1.2,8.41,94.85393929616214,7.21
22000,3600.0,1400.0,3919.67,1312.79,1.2,7.74,331.35252073886517,6.54
22000,3600.0,1400.0,3729.5,1401.53,1.2,9.09,129.5090379085568,7.89
22000,3600.0,1400.0,3633.82,1332.67,1.2,5.15,75.34667411372583,3.95
